City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Coquimbo,CL,2022-01-16 23:14:24,-29.9533,-71.3436,67.73,68,0,12.66
169,Svetlogorsk,BY,2022-01-16 23:14:24,52.6333,29.7333,28.72,80,96,13.8
170,Tuatapere,NZ,2022-01-16 23:14:25,-46.1333,167.6833,75.81,51,90,6.11
171,Sistranda,NO,2022-01-16 23:14:25,63.7256,8.834,33.76,75,100,51.67
172,Ozinki,RU,2022-01-16 23:14:25,51.1786,49.6769,2.21,99,67,5.41
173,Kununurra,AU,2022-01-16 23:14:26,-15.7667,128.7333,80.58,89,40,0.0
174,Mangochi,MW,2022-01-16 23:14:26,-14.4782,35.2645,70.29,87,95,2.75
175,Balezino,RU,2022-01-16 23:14:26,57.9796,53.0106,4.69,98,99,8.1
176,Acajutla,SV,2022-01-16 23:14:27,13.5928,-89.8275,93.54,65,8,6.58
177,Ribeira Grande,PT,2022-01-16 23:14:27,38.5167,-28.7,56.5,66,26,18.68
178,Gorin,RU,2022-01-16 23:14:27,51.1983,136.6669,5.7,95,100,8.05
179,Olonets,RU,2022-01-16 23:14:28,60.9847,32.9698,32.74,98,100,16.24
180,Barahona,DO,2022-01-16 23:15:28,18.2085,-71.1008,76.82,78,20,6.91
181,Bhind,IN,2022-01-16 23:15:28,26.5642,78.7883,44.33,52,0,2.17
182,Letlhakane,BW,2022-01-16 23:15:29,-21.4167,25.5833,75.0,59,79,6.11
183,Port Lincoln,AU,2022-01-16 23:15:15,-34.7333,135.8667,66.56,70,100,13.09
184,Urumqi,CN,2022-01-16 23:12:02,43.801,87.6005,4.15,85,9,0.0
185,Aswan,EG,2022-01-16 23:15:30,24.0934,32.907,49.14,41,0,7.76
186,Sofikon,GR,2022-01-16 23:15:31,37.8,23.05,38.32,80,2,2.57
187,Georgetown,MY,2022-01-16 23:15:14,5.4112,100.3354,79.9,84,20,0.0
188,Sun City West,US,2022-01-16 23:12:07,33.662,-112.3413,73.98,17,0,1.99
189,Gat,IL,2022-01-16 23:15:31,31.61,34.7642,46.4,100,79,6.17
190,Noyon,FR,2022-01-16 23:15:31,49.5833,3.0,45.12,96,94,2.57
191,Acapulco,MX,2022-01-16 23:12:45,16.8634,-99.8901,84.02,65,40,4.61
192,Dangriga,BZ,2022-01-16 23:15:32,16.9692,-88.2321,75.16,82,14,13.56
193,Ilulissat,GL,2022-01-16 23:15:32,69.2167,-51.1,3.22,55,40,6.91
194,Komsomolskiy,UZ,2022-01-16 23:15:32,40.4272,71.7189,41.72,48,96,9.22
195,Mao,ES,2022-01-16 23:15:33,39.8885,4.2658,43.36,75,0,5.75
196,Khorramabad,IR,2022-01-16 23:15:33,33.4878,48.3558,44.22,53,75,6.91
197,Atascadero,US,2022-01-16 23:15:34,35.4894,-120.6707,68.63,50,44,1.01
198,Monte Alegre,BR,2022-01-16 23:15:34,-2.0078,-54.0692,79.25,77,21,3.38
199,Uzice,RS,2022-01-16 23:15:35,43.8586,19.8488,16.43,89,18,4.05
200,Camacha,PT,2022-01-16 23:15:35,33.0833,-16.3333,62.02,68,20,21.85
201,Ayan,RU,2022-01-16 23:15:35,56.45,138.1667,-7.74,79,44,10.16
202,Bathsheba,BB,2022-01-16 23:15:36,13.2167,-59.5167,77.61,69,20,17.27
203,Husavik,IS,2022-01-16 23:15:36,66.0449,-17.3389,21.11,93,100,10.16
204,Atagay,RU,2022-01-16 23:15:36,55.1033,99.3875,11.41,95,98,2.57
205,Baherden,TM,2022-01-16 23:15:37,38.4362,57.4316,36.0,88,30,0.76
206,Maniwaki,CA,2022-01-16 23:15:37,46.3834,-75.966,0.14,65,5,1.14
207,San Felipe,VE,2022-01-16 23:15:37,10.3399,-68.7425,73.24,89,60,6.17
208,Pascagoula,US,2022-01-16 23:15:38,30.3658,-88.5561,45.03,76,100,6.91
209,Ambilobe,MG,2022-01-16 23:15:38,-13.2,49.05,76.46,93,98,2.19
210,New Norfolk,AU,2022-01-16 23:15:38,-42.7826,147.0587,73.71,42,11,5.01
211,Chokurdakh,RU,2022-01-16 23:15:39,70.6333,147.9167,-41.01,99,85,6.53
212,Kodiak,US,2022-01-16 23:15:39,57.79,-152.4072,31.51,55,0,5.75
213,Praia Da Vitoria,PT,2022-01-16 23:15:39,38.7333,-27.0667,55.65,71,75,12.26
214,Enshi,CN,2022-01-16 23:15:40,30.3,109.4833,42.19,95,100,0.72
215,Rio Grande,BR,2022-01-16 23:15:40,-32.035,-52.0986,75.94,95,95,13.53
216,Denpasar,ID,2022-01-16 23:15:40,-8.65,115.2167,79.18,83,99,2.71
217,Norman Wells,CA,2022-01-16 23:15:41,65.282,-126.8329,-29.16,68,20,2.3
218,Lorengau,PG,2022-01-16 23:15:41,-2.0226,147.2712,82.45,79,96,2.73
219,Koroni,GR,2022-01-16 23:15:41,36.8,21.95,51.08,73,85,4.38
220,Benguela,AO,2022-01-16 23:15:42,-12.5763,13.4055,74.03,81,49,5.53
221,Chilca,PE,2022-01-16 23:15:42,-12.5211,-76.7372,76.08,78,37,7.09
222,Emba,KZ,2022-01-16 23:15:43,48.8264,58.1442,23.0,94,99,15.57
223,Nioro,GM,2022-01-16 23:15:43,13.35,-15.75,78.21,54,100,5.5
